date,open,high,low,close,volume
2026-06-01 06:30:00+00:00,8220,8220,8165,8165,2
2026-06-01 13:10:00+00:00,8165,8195,8165,8195,1
2026-06-01 17:10:00+00:00,8195,8303,8195,8303,1
2026-06-01 17:25:00+00:00,8303,8304,8303,8304,1
2026-06-02 06:05:00+00:00,8171,8197,8171,8197,1
2026-06-02 09:00:00+00:00,8197,8197,8163,8163,1
2026-06-02 09:20:00+00:00,8163,8163,8125,8125,1
2026-06-02 11:00:00+00:00,8165,8165,8165,8165,1
2026-06-02 11:25:00+00:00,8165,8223,8165,8223,1
2026-06-02 15:50:00+00:00,8300,8300,8300,8300,1
2026-06-03 13:45:00+00:00,8514,8514,8514,8514,1
2026-06-03 15:00:00+00:00,8514,8519,8514,8519,1
2026-06-03 16:10:00+00:00,8519,8566,8519,8566,1
2026-06-03 16:15:00+00:00,8566,8579,8566,8579,1
2026-06-04 03:35:00+00:00,8456,8456,8456,8456,4
2026-06-04 03:40:00+00:00,8456,8456,8456,8456,1
2026-06-04 03:55:00+00:00,8435,8435,8429,8429,3
2026-06-04 04:00:00+00:00,8429,8429,8403,8403,4
2026-06-04 04:05:00+00:00,8403,8405,8403,8405,2
2026-06-04 04:10:00+00:00,8405,8405,8390,8390,2
2026-06-04 04:15:00+00:00,8390,8390,8376,8380,2
2026-06-04 04:30:00+00:00,8380,8392,8380,8392,1
2026-06-04 06:10:00+00:00,8392,8451,8392,8451,1
2026-06-04 06:15:00+00:00,8451,8451,8385,8385,1
2026-06-04 11:15:00+00:00,8385,8400,8385,8400,1
2026-06-04 11:50:00+00:00,8400,8400,8300,8300,2
2026-06-04 11:55:00+00:00,8300,8300,8290,8290,1
2026-06-04 12:00:00+00:00,8290,8290,8275,8275,2
2026-06-04 15:10:00+00:00,8275,8314,8275,8314,1
2026-06-04 16:30:00+00:00,8314,8314,8264,8264,1
2026-06-05 13:15:00+00:00,8217,8217,8215,8215,1
2026-06-05 17:10:00+00:00,8215,8215,8112,8112,1
2026-06-08 03:30:00+00:00,8334,8342,8334,8342,1
2026-06-08 03:35:00+00:00,8340,8347,8340,8340,4
2026-06-08 03:40:00+00:00,8340,8340,8297,8297,7
2026-06-08 03:45:00+00:00,8297,8297,8275,8275,10
2026-06-08 04:05:00+00:00,8275,8358,8275,8358,1
2026-06-08 05:50:00+00:00,8358,8418,8358,8418,1
2026-06-08 06:25:00+00:00,8418,8418,8418,8418,1
2026-06-08 08:00:00+00:00,8418,8458,8418,8458,1
2026-06-08 08:05:00+00:00,8458,8458,8458,8458,1
2026-06-08 11:15:00+00:00,8458,8458,8258,8258,1
2026-06-08 11:20:00+00:00,8258,8258,8258,8258,1
2026-06-08 11:25:00+00:00,8258,8262,8258,8262,1
2026-06-08 13:25:00+00:00,8262,8262,8197,8197,1
2026-06-08 13:50:00+00:00,8197,8197,8193,8193,1
2026-06-08 14:00:00+00:00,8193,8196,8193,8196,1
2026-06-08 17:50:00+00:00,8196,8268,8196,8268,1
2026-06-09 07:05:00+00:00,8200,8200,8150,8150,1
2026-06-09 08:15:00+00:00,8110,8110,8105,8105,2
2026-06-09 08:35:00+00:00,8105,8106,8105,8106,1
2026-06-09 09:05:00+00:00,8105,8105,8105,8105,1
2026-06-09 10:00:00+00:00,8105,8144,8105,8144,2
2026-06-09 10:40:00+00:00,8144,8144,8102,8102,1
2026-06-09 13:15:00+00:00,8102,8102,8102,8102,1
2026-06-09 13:45:00+00:00,8102,8102,8029,8029,2
2026-06-09 14:10:00+00:00,7974,7974,7973,7973,3
2026-06-09 16:35:00+00:00,7970,7970,7970,7970,1
2026-06-09 17:20:00+00:00,7982,7982,7982,7982,1
2026-06-10 11:05:00+00:00,8087,8118,8087,8118,2
2026-06-10 17:50:00+00:00,8118,8232,8118,8232,1
2026-06-11 16:35:00+00:00,8300,8300,8300,8300,2
2026-06-11 17:30:00+00:00,8300,8300,8000,8000,4
2026-06-11 17:40:00+00:00,8000,8000,7968,7982,3
2026-06-12 04:50:00+00:00,7972,7972,7907,7907,1
2026-06-12 05:05:00+00:00,7907,7907,7871,7871,1
2026-06-12 07:35:00+00:00,7871,7871,7859,7859,1
2026-06-12 07:50:00+00:00,7834,7834,7834,7834,1
2026-06-12 07:55:00+00:00,7834,7834,7802,7802,1
2026-06-12 11:00:00+00:00,7801,7801,7801,7801,1
2026-06-12 12:25:00+00:00,7801,7809,7801,7809,1
2026-06-12 14:00:00+00:00,7809,7951,7809,7951,1
2026-06-12 15:15:00+00:00,7741,7741,7741,7741,1
2026-06-12 17:55:00+00:00,7741,7741,7700,7700,5
2026-06-15 03:30:00+00:00,7464,7464,7464,7464,1
2026-06-15 03:35:00+00:00,7464,7464,7380,7380,2
2026-06-15 03:50:00+00:00,7385,7385,7372,7372,3
2026-06-15 03:55:00+00:00,7372,7373,7372,7373,3
2026-06-15 04:05:00+00:00,7373,7373,7365,7365,1
2026-06-15 04:30:00+00:00,7365,7365,7357,7357,1
2026-06-15 04:35:00+00:00,7357,7357,7349,7349,1
2026-06-15 06:10:00+00:00,7349,7400,7349,7400,1
2026-06-15 07:20:00+00:00,7400,7400,7349,7349,1
2026-06-15 07:25:00+00:00,7349,7349,7344,7344,1
2026-06-15 08:15:00+00:00,7344,7389,7344,7389,1
2026-06-15 14:25:00+00:00,7389,7389,7342,7342,1
2026-06-15 15:45:00+00:00,7342,7343,7342,7343,1
2026-06-15 16:50:00+00:00,7343,7343,7331,7331,1
2026-06-15 17:25:00+00:00,7331,7377,7331,7377,1
2026-06-16 04:05:00+00:00,7400,7400,7400,7400,1
2026-06-16 05:20:00+00:00,7400,7400,7345,7345,1
2026-06-16 07:00:00+00:00,7345,7372,7345,7372,1
2026-06-16 07:15:00+00:00,7372,7372,7362,7362,1
2026-06-16 07:35:00+00:00,7362,7362,7325,7325,1
2026-06-16 09:05:00+00:00,7325,7325,7232,7232,1
2026-06-16 09:10:00+00:00,7232,7233,7232,7233,1
2026-06-16 10:15:00+00:00,7233,7260,7230,7230,2
2026-06-16 10:35:00+00:00,7230,7230,7221,7221,1
2026-06-16 10:45:00+00:00,7221,7221,7193,7193,1
2026-06-16 11:45:00+00:00,7193,7236,7193,7236,1
2026-06-16 13:15:00+00:00,7179,7179,7179,7179,1
2026-06-16 14:00:00+00:00,7179,7179,7179,7179,1
2026-06-16 14:45:00+00:00,7148,7148,7148,7148,1
2026-06-16 14:50:00+00:00,7152,7162,7152,7162,3
2026-06-16 15:05:00+00:00,7170,7170,7125,7125,4
2026-06-16 15:10:00+00:00,7160,7160,7160,7160,1
2026-06-16 15:40:00+00:00,7160,7160,7135,7135,1
2026-06-16 15:50:00+00:00,7135,7135,7100,7100,1
2026-06-16 15:55:00+00:00,7074,7074,7074,7074,1
2026-06-16 16:10:00+00:00,7074,7088,7074,7088,1
2026-06-16 16:20:00+00:00,7064,7064,7064,7064,1
2026-06-16 16:50:00+00:00,7064,7090,7064,7090,1
2026-06-16 17:30:00+00:00,7090,7090,7081,7081,2
2026-06-16 17:50:00+00:00,7081,7090,7081,7090,2
2026-06-17 03:50:00+00:00,6988,6988,6988,6988,1
2026-06-17 06:20:00+00:00,6988,7100,6988,7100,1
2026-06-17 06:45:00+00:00,7100,7100,6998,6998,2
2026-06-17 06:50:00+00:00,6998,7000,6998,7000,20
2026-06-17 06:55:00+00:00,7000,7000,7000,7000,10
2026-06-17 07:10:00+00:00,7000,7000,6978,6978,1
2026-06-17 07:20:00+00:00,7031,7031,7031,7031,1
2026-06-17 07:35:00+00:00,7016,7016,7016,7016,1
2026-06-17 07:40:00+00:00,7016,7037,7016,7037,1
2026-06-17 08:00:00+00:00,7037,7037,7029,7029,1
2026-06-17 08:05:00+00:00,7029,7029,7017,7017,6
2026-06-17 08:10:00+00:00,7017,7050,7017,7050,5
2026-06-17 08:15:00+00:00,7050,7070,7050,7070,1
2026-06-17 08:30:00+00:00,7134,7134,7134,7134,3
2026-06-17 09:15:00+00:00,7075,7075,7075,7075,5
2026-06-17 09:25:00+00:00,7075,7075,7033,7033,2
2026-06-17 09:35:00+00:00,7033,7054,7033,7054,1
2026-06-17 10:05:00+00:00,7054,7100,7054,7100,1
2026-06-17 11:20:00+00:00,7100,7100,7097,7097,1
2026-06-17 11:45:00+00:00,7120,7120,7120,7120,2
2026-06-17 11:55:00+00:00,7120,7150,7120,7150,1
2026-06-17 13:35:00+00:00,7150,7150,7150,7150,2
2026-06-17 14:00:00+00:00,7150,7150,7150,7150,1
2026-06-17 14:30:00+00:00,7150,7174,7150,7174,1
2026-06-17 14:35:00+00:00,7174,7174,7166,7166,1
2026-06-17 14:45:00+00:00,7166,7331,7166,7311,15
2026-06-17 14:50:00+00:00,7219,7219,7184,7184,3
2026-06-17 14:55:00+00:00,7193,7193,7193,7193,2
2026-06-17 15:20:00+00:00,7100,7100,7097,7097,5
2026-06-17 15:25:00+00:00,7095,7095,7095,7095,1
2026-06-17 15:30:00+00:00,7095,7108,7095,7108,1
2026-06-17 16:55:00+00:00,7108,7108,7055,7055,3
2026-06-17 17:35:00+00:00,7080,7080,7080,7080,1
2026-06-17 17:40:00+00:00,7080,7080,7055,7055,1
2026-06-17 17:45:00+00:00,7055,7060,7055,7060,2
2026-06-17 17:55:00+00:00,7045,7090,7045,7090,2
2026-06-18 03:40:00+00:00,6989,7032,6989,6995,7
2026-06-18 03:45:00+00:00,6995,6995,6995,6995,1
2026-06-18 03:50:00+00:00,6995,6995,6989,6989,2
2026-06-18 04:05:00+00:00,6989,6989,6980,6980,1
2026-06-18 04:10:00+00:00,6980,6980,6980,6980,1
2026-06-18 04:15:00+00:00,6985,6986,6969,6969,5
2026-06-18 04:20:00+00:00,6955,6955,6955,6955,1
2026-06-18 04:25:00+00:00,6955,6955,6951,6951,2
2026-06-18 04:45:00+00:00,6935,6935,6935,6935,2
